no,x,y,z,begin
50,0.531899,-0.0120554,-0.0855892,normal
51,0.519107,-0.00394865,-0.0994432,normal
52,0.529422,-0.508474,-0.163165,normal
53,0.543442,-0.478391,-0.161748,normal
54,0.569593,-0.446566,-0.163447,normal
55,0.497596,-0.0416384,-0.143059,normal
56,0.53115,-0.5079,-0.169623,normal
57,0.53743,-0.469506,-0.169677,normal
58,0.551733,-0.447071,-0.174041,normal
no,x,y,z,end
no,x,y,z,begin
0,0.974012,-0.190545,0.0147781,normal
1,0.862567,-0.272325,-0.0189779,normal
2,0.867506,-0.27874,-0.0319507,normal
3,0.866773,-0.264188,-0.0338732,normal
4,0.85992,-0.27251,-0.027241,normal
5,0.512974,0.467387,0.539452,normal
6,0.510011,0.469045,0.520493,normal
7,0.547898,-0.0750994,0.035702,normal
8,0.550822,-0.106102,-0.00727722,normal
9,0.55486,-0.0756179,0.00513601,normal
10,0.548951,-0.046515,-0.00493315,normal
11,0.555344,-0.111952,-0.0438887,normal
12,0.568958,-0.0750605,-0.0426683,normal
13,0.556099,-0.0398056,-0.0457578,normal
14,0.558589,-0.113499,-0.0895438,normal
15,0.578912,-0.075959,-0.0870145,normal
16,0.562625,-0.0298614,-0.088619,normal
17,0.553544,-0.0953717,-0.123434,normal
18,0.565818,-0.0258032,-0.118997,normal
19,0.513061,0.424092,-0.152834,normal
20,0.484068,0.469118,0.547945,normal
21,0.480896,0.470712,0.507288,normal
22,0.468133,0.483976,0.476644,normal
23,0.457528,0.493813,0.467638,normal
24,0.498918,-0.0877048,0.186853,normal
25,0.503985,-0.111858,0.142523,normal
26,0.505606,-0.0814808,0.154313,normal
27,0.497671,-0.0537284,0.142367,normal
28,0.516246,-0.113348,0.105218,normal
29,0.520366,-0.0794414,0.107291,normal
30,0.503872,-0.0472081,0.103943,normal
31,0.529987,-0.116309,0.0561078,normal
32,0.536256,-0.0785966,0.0582932,normal
33,0.515811,-0.0422014,0.0559012,normal
34,0.537748,-0.123217,0.00719702,normal
35,0.543431,-0.0853914,0.0242721,normal
36,0.528378,-0.0366098,0.00918724,normal
37,0.512133,-0.156829,-0.0464814,normal
38,0.535359,-0.137596,-0.0400038,normal
39,0.532574,-0.0239188,-0.0384392,normal
40,0.505398,-0.157285,-0.083624,normal
41,0.529629,-0.140589,-0.0915577,normal
42,0.533292,-0.0117223,-0.0855989,normal
43,0.519186,-0.00287106,-0.100541,normal
44,0.529775,-0.105642,-0.127977,normal
45,0.537857,-0.102048,-0.127986,normal
46,0.497549,-0.0403647,-0.143107,normal
47,0.493414,0.421718,-0.155658,normal
48,0.462443,0.474486,-0.164169,normal
49,0.459578,0.472492,-0.169166,normal
no,x,y,z,end
no,x,y,z,begin
0,0.977879,-0.274485,0.00662769,normal
1,0.974731,-0.2596,0.00967011,normal
2,0.97036,-0.14522,0.0176469,normal
3,0.950732,0.166957,0.0166606,normal
4,0.936503,0.179092,0.0117805,normal
5,0.923207,-0.257781,-0.000854686,normal
6,0.919285,0.187969,0.0117397,normal
7,0.915818,-0.263417,-0.0216942,normal
8,0.910665,-0.265678,-0.0258065,normal
9,0.639663,-0.507769,-0.125406,normal
10,0.511797,0.467516,0.537892,normal
11,0.510341,0.469036,0.521138,normal
12,0.547838,-0.0742162,0.0339623,normal
13,0.551012,-0.106202,-0.00710808,normal
14,0.555309,-0.0759456,0.0048914,normal
15,0.548465,-0.0461235,-0.00571042,normal
16,0.555504,-0.112035,-0.0445212,normal
17,0.569227,-0.0749877,-0.0427207,normal
18,0.555711,-0.0398842,-0.0459699,normal
19,0.55887,-0.113505,-0.089962,normal
20,0.579302,-0.0758006,-0.0867631,normal
21,0.562777,-0.0299658,-0.08873,normal
22,0.588574,-0.564146,-0.137696,normal
23,0.605173,-0.530242,-0.13012,normal
24,0.480056,0.46771,0.542664,normal
25,0.501252,-0.0980604,0.487648,normal
26,0.480536,0.470956,0.507109,normal
27,0.501291,-0.091479,0.476417,normal
28,0.46723,0.483846,0.477088,normal
29,0.45744,0.493905,0.468656,normal
30,0.49891,-0.0877331,0.184906,normal
31,0.504395,-0.11176,0.142984,normal
32,0.505571,-0.0810664,0.155102,normal
33,0.49775,-0.0537219,0.141648,normal
34,0.515998,-0.113655,0.105177,normal
35,0.520424,-0.0794355,0.107291,normal
36,0.504287,-0.047766,0.103096,normal
37,0.530351,-0.116329,0.0557713,normal
38,0.536622,-0.0784692,0.0577395,normal
39,0.515742,-0.0422109,0.0560978,normal
40,0.538201,-0.123178,0.00741416,normal
41,0.543219,-0.0825897,0.0242126,normal
42,0.527888,-0.0367595,0.00955386,normal
43,0.514811,-0.158003,-0.0384237,normal
44,0.536293,-0.136962,-0.0387512,normal
